article_body,category,date_posted,title
"LONDON (Reuters) - Stock market bulls rejoicing at promising news on the COVID-19 vaccine and the prospect of a more predictable U.S. presidency may have another reason to celebrate: an anticipated surge in the net global supply of shares shows no sign of materialising.,A decade-long decline in the volume of new shares available to buy helped power history's longest bull run, but was expected to reverse as the pandemic forced companies to halt share buybacks and list equity instead to shore up balance sheets.,Indeed, total share offerings have surged, with more than $700 billion raised worldwide in January-September, according to Refinitiv. And share buybacks, long blamed for draining markets of investable equity, dropped sharply.,But countering those shifts were forecast-beating M&A volumes and debt-funded buyouts, both of which usually remove shares from circulation. If that boom continues - and signs are it will - the net equity supply decline may not ease just yet.,""At the start of this year, we all feared we would have a big increase in net equity supply because of the collapse in buybacks and the increase in equity offerings. But if anything, equity supply looks to be lagging below last year's level,"" said JPMorgan analyst Nikolaos Panigirtzoglou.,Global net supply - share issuance adjusted for de-listings and buybacks - totalled $320 billion in the first 10 months of 2020, implying a full-year $380 billion tally, estimates Panigirtzoglou who has closely tracked the trend via a global share count proxy.,His full-year forecast would be below last year's $450 billion net supply and half of what he had projected in June.,The year-to-date U.S. tally is just $8 billion though it could be the first positive net supply year since 2014.,""I have no reason to expect that the low supply picture will change,"" Panigirtzoglou said.,(Graphic: U.S. and global net new equity supply (bln $) - ),World stocks are at record highs, surfing on abundant stimulus, the U.S. election outcome and hopes of a viable vaccine for COVID-19. Many investment banks predict another 20-25% rally in 2021 as the global economy rebounds, with the equity supply/demand imbalance helping at least at the margins.,Like many things, the outlook may hinge on when a vaccine becomes available; a brighter economic outlook could accelerate the pace of corporate mergers and leveraged buyouts (LBO) that eroded the share free-float this year.,Year-to-date private equity-led LBOs are running 6% above year-ago levels at over $158 billion, Refinitiv data shows. M&A at $2.9 trillion also defied expectations of collapse and are only a tenth below year-ago values.,(Graphic: Leveraged buyout volumes up 6% this year - ),That was also powered by a sharp fall in borrowing costs, including for the higher-yield debt used in leveraged buyouts, as central banks pumped in stimulus.,""Private equity deals are not going go away and companies with strong balance sheets will try to do deals as access to capital is there,"" said Richard Saldanha, a portfolio manager at Aviva Investors.,""The more confidence we get around vaccine efficacy, you will see more deals taking place, it gives companies confidence from a capital allocation perspective."",Moreover, he reckons that while IPO volumes will continue growing, the explosion in secondary listings by cash-hungry companies should abate.,What of buybacks which came under intense political and regulatory scrutiny even before the pandemic?,For years, the biggest buyers of U.S. shares were companies themselves - a trend that also spread to Asia and Europe - but global 2020 buyback volumes have fallen to around $250 billion, less than a third of 2019 levels, JPM data shows.,(Graphic: S&P 500 buybacks - ),Third-quarter S&P500 buybacks could amount to $100 billion, according to preliminary estimates by Howard Silverblatt, senior analyst at S&P Dow Jones Indices. But buybacks remain ""top-heavy"", with 80% coming from the top 20 firms, he added.,Buybacks boost earnings-per-share and Morgan Stanley predicted this to continue, albeit modestly. Buybacks would cause accretion next year of ""a low-single-digit percentage of shares outstanding"" adding $3 to S&P500 EPS, it predicted.,(Graphic: S&P500 total buybacks - )",Business News,2020-11-16,Analysis: Low on stock - Pandemic-era IPO boom may not reverse equity shortage
"(Reuters) - President-elect Joe Biden on Monday will focus on reviving a pandemic-battered U.S. economy as he prepares to take office, as outgoing President Donald Trump promised more lawsuits of the type that so far have failed to alter his election defeat.,- Trump appeared on Sunday to publicly acknowledge for the first time that his Democratic rival Joe Biden had won the U.S. presidential election, but then backtracked and reiterated his false claims that the vote was rigged.,- Trump asserted on Twitter on Sunday he would soon file ""big cases"" challenging the 2020 election results in which Joe Biden defeated him, although his campaign has lost numerous court battles over the results.,- Trump's campaign on Sunday dropped a major part of a lawsuit seeking to prevent Pennsylvania from certifying its results in the presidential election, narrowing the case to a small number of ballots.,- U.S. President-elect Joe Biden will be briefed by national security experts this week, Biden transition official Jen Psaki said on Friday, amid concerns that being out of the loop due to delays in the transition could be a national security risk.,- With his long-shot efforts to hang on for a second term dwindling, Trump is discussing several media ventures and appearances that would keep him in the spotlight ahead of a potential 2024 White House bid, his advisers say.,- Tens of thousands of Trump's supporters marched through downtown Washington on Saturday, echoing his unsubstantiated claims of election fraud and cheering as his motorcade drove past.,- Europe still needs its own independent and sovereign defence strategy, even if it is dealing with a potentially friendlier new U.S. government, French President Emmanuel Macron told the ""Revue Grand Continent"" publication.,- Taiwan hopes to continue its close cooperation with the United States, the island's de facto U.S. ambassador told Antony Blinken, a longtime confidant of President-elect Joe Biden, as Taiwan works to build ties with the new administration.,- The change in the U.S. administration is expected eventually to bring a slower, steadier troop withdrawal from Afghanistan, officials and analysts said, but the disputed presidential election has heightened uncertainty and could deepen delays in peace talks.,- Global stocks eyed a fresh record high on Monday as signs of economic recovery in Asia, recent strong corporate earnings and hopes of a COVID-19 vaccine bolstered investor sentiment. [MKTS/GLOB],- FACTBOX-U.S. election: key tallies and certification deadlines.,- With final races called, Edison Research says Biden has finished with 306 Electoral College cotes and Trump with 232.,Expected events and Reuters coverage on Nov. 16:,- President-elect Joe Biden and Vice President-elect Kamala Harris to speak about their economic recovery plans in Wilmington, Delaware. (1:45 p.m. EST/1845 GMT),Refinitiv customers see more election coverage on the Election App, on Eikon or Workspace.,Media customers can find complete multimedia coverage on the Reuters Connect planning calendar here ,.",U.S. Legal News,2020-11-16,2020 U.S. ELECTION: What you need to know right now
"LONDON (Reuters) - Britain has secured 5 million doses of Moderna's experimental COVID-19 vaccine after interim data indicated it was 94.5% effective, health minister Matt Hancock said on Monday.,""We have today secured an initial agreement for 5 million doses of the Moderna vaccine,"" Hancock said at a news conference.",Autos,2020-11-16,Britain secures 5 million doses of Moderna's COVID vaccine: health minister
"BERLIN (Reuters) - An Austrian privacy advocacy group drew a strongly critical response from Apple on Monday after it said an online tracking tool used in its devices breached European law.,The group, led by campaigner Max Schrems, filed complaints with data protection watchdogs in Germany and Spain alleging that the tracking tool illegally enabled the $2 trillion U.S. tech giant to store users' data without their consent.,Apple directly rebutted the claims filed by Noyb, the digital rights group founded by Schrems, saying they were ""factually inaccurate and we look forward to making that clear to privacy regulators should they examine the complaint"".,Schrems is a prominent figure in Europe's digital rights movement that has resisted intrusive data-gathering by Silicon Valley's tech platforms. He has fought two cases against Facebook, winning landmark judgments that forced the social network to change how it handles user data.,Noyb's complaints were brought against Apple's use of a tracking code, known as the Identifier for Advertisers (IDFA), that is automatically generated on every iPhone when it is set up.,The code, stored on the device, makes it possible to track a user's online behaviour and consumption preferences - vital in allowing companies to send targeted adverts.,""Apple places codes that are comparable to a cookie in its phones without any consent by the user. This is a clear breach of European Union privacy laws,"" Noyb lawyer Stefano Rossetti said.,Rossetti referred to the EU's e-Privacy Directive, which requires a user's consent before installation and using such information.,Apple said in response that it ""does not access or use the IDFA on a user's device for any purpose"".,It said its aim was to protect the privacy of its users and that the latest release of its iOS 14 operating system gave users greater control over whether apps could link with third parties for the purposes of targeted advertising.,The Californian tech giant said in September it would delay plans to launch iOS 14 until early next year.,Apple accounts for one in every four smartphones sold in Europe, according to Counterpoint Research.,The claims were made on behalf of a German and a Spanish consumer and handed to the Spanish data protection authority and its counterpart in Berlin, said Noyb.,Spain's privacy protection agency confirmed it received a complaint from Noyb against Apple but declined to comment.,The Berlin agency had no comment. In Germany, each federal state has its own data protection authority.,Noyb said its claims were based on the 2002 e-Privacy Directive that allows national authorities to impose fines autonomously, avoiding lengthy proceedings it faced in its case against Facebook that was based on the EU's General Data Protection Regulation (GDPR).,The GDPR regime launched in 2018 included a mandatory cooperation mechanism among national authorities, which Noyb says has slowed progress.,Rossetti said the action aimed to establish a clear principle that ""tracking must be the exception, not the rule"".,Apple, responding, said: ""Our practices comply with European law and support and advance the aims of the GDPR and the ePrivacy Directive, which is to give people full control over their data.""",U.S. Legal News,2020-11-16,Apple hits back at European activist complaints against tracking tool
"WASHINGTON (Reuters) - U.S. Securities and Exchange Commission Chairman Jay Clayton will step down from his position at the end of the year, the Wall Street regulator said in a statement on Monday.,Clayton's early exit - his term would not expire until the end of June - clears the way for President-Elect Joe Biden to quickly take control of the regulatory agency when he is sworn in on Jan. 20, as Democrats are eager to create a more aggressive watchdog.,""Working alongside the incredibly talented and driven women and men of the SEC has been the highlight of my career,"" said Clayton, who was appointed under President Donald Trump.,Clayton has said he wants to return home to New York and was expected to resign before his term ends in June. His departure would likely position an ultra-conservative ranking Republican commissioner, Hester Pierce, who frequently votes against penalizing companies for wrongdoing, to serve as an interim acting chairwoman at least until Biden takes office, lawyers said.,It is expected that senior Democratic SEC commissioner Allison Lee would be named as the acting chairwoman by Biden, until a permanent SEC chief is nominated and confirmed.,Under Clayton, the SEC has pursued changes to regulations that critics saw as burdensome or hindering corporate growth, often in the face of opposition from Democrats and investor advocates. The former corporate deals lawyer is generally respected for his expertise and described by those who deal with him as thoughtful and affable.,In July 2020, Clayton had been nominated , by the Trump Administration to potentially replace a top federal prosecutor who was being fired by President Donald Trump at the time.,It is now unlikely Clayton would assume that role after Trump departs the White House, lawyers said.,As a full-time replacement SEC chief, progressives are keen for former Democratic SEC commissioner Kara Stein to fill the role, although Rob Jackson, also a former Democratic commissioner who currently teaches at New York University School of Law, is preferred by moderates.,Former derivatives market regulator Gary Gensler, who is working on a transition plan for financial industry oversight under Biden, is also a contender, sources told (,) Reuters.",U.S. Legal News,2020-11-16,SEC chief Clayton to call it quits at the end of 2020
"The pandemic has hurt the nation's highest-selling meat company as demand has declined from restaurants, hotels and cafeterias. Virus outbreaks among plant workers this spring forced slaughterhouses to close, limiting supplies in grocery stores as consumers scrambled to stock up.,A sample of Tyson employees are now being tested weekly for COVID-19 to avoid more shutdowns and make workers feel safe, Chief Executive Officer Dean Banks said.,Employee absences remain elevated due to the pandemic, though, and will be a headwind for Tyson through the first half of 2021, he said.,Tyson spent $540 million on COVID-19-related costs in fiscal year 2020, including about $300 million on ""thank-you bonuses"" and other benefits for nervous employees.,The expenses should drop 39% in 2021, the company said, as Tyson will not need to repeat purchases of items like infrared temperature scanners it installed at plants.,""We are seeing the need to make sure that we compensate our team members to come in through the crisis,"" Banks said.,Another challenge comes from surging prices for corn and soy, used for animal feed. Tyson said overall grain costs could be higher in 2021, after staying relatively flat in 2020. [GRA/],""The feed cost tailwind will likely flip soon,"" JP Morgan analyst Ken Goldman said.,Tyson's shares, down about 32% this year, rose 3% in afternoon trading.,Sales volumes in its beef and pork businesses increased in the fourth quarter after declining for the first nine months of the year.,Total sales rose to $11.46 billion in the quarter from $10.88 billion a year earlier. Net income attributable to Tyson jumped about 88% to $692 million, or $1.90 per share.,Excluding items, Tyson earned $1.95 per share, according to IBES data from Refinitiv. Analysts on average expected a profit of $1.19.",Business News,2020-11-16,"Tyson Foods beats profit estimates, sees lower COVID-19 costs in 2021"
"The 737 MAX has been grounded since March 2019 but the FAA is set on Wednesday to approve the plane's return to service after a lengthy review, new software safeguards and training upgrades.,The House bill requires an expert panel to evaluate Boeing's safety culture and recommend improvements, and mandates that aircraft manufacturers adopt safety management systems and complete system safety assessments for significant design changes. It also requires that risk calculations be based on realistic assumptions of pilot response time, and that risk assessments are shared with regulators.,The House Transportation and Infrastructure Committee approved the measure unanimously on Sept. 30.,Representative Peter DeFazio, the panel's chairman, told Reuters in a statement that the measure is ""a strong bill that has support from both sides of the aisle and addresses something we all agree on — keeping people safe. There's no reason to wait until the next Congress to get this done."",DeFazio, a Democrat, said the FAA failed to properly ensure the safety of the 737 MAX, and called aircraft certification ""a broken system that broke the public's trust."",Boeing and the FAA declined to comment on the legislation.,A report released by DeFazio found the 737 MAX crashes were the ""horrific culmination"" of failures by Boeing and the FAA and called for urgent reforms.,The House bill would extend airline whistleblower protections to U.S. manufacturing employees, require FAA approval of new workers who are performing delegated certification tasks, and impose civil penalties on those who interfere with the performance of FAA-authorized duties.,The panel's top Republican, Representative Sam Graves, said the bill ""will help ensure the United States remains the gold standard in aviation safety and maintain our competitiveness in the aerospace sector because we were able to leave partisan politics at the door (and) adhere to the experts' conclusions that our system should be improved but not dismantled."",It is unclear if the U.S. Senate will take up the measure before the current Congress expires this year.",Aerospace and Defense,2020-11-16,House to vote on FAA reform bill after Boeing 737 MAX crashes
"Lemkau, who was widely seen as a potential CEO candidate at Goldman, will join MSD Partners as chief executive officer. MSD Partners is the investment firm started by Michael Dell. (,),One of the most high-profile dealmakers on Wall Street, Lemkau had jointly led Goldman's mergers and acquisition department for a number of years, before being tasked to serve as co-head of investment banking in 2017.,Under Lemkau, the bank dominated mergers and acquisitions among the top 20 financial advisers for 2019, according to data and analytics company GlobalData. (,),Goldman's investment banking division has benefited from a number of large mergers and several high-profile IPOs in the third quarter this year, as dealmaking roared back to life following a pandemic-induced slowdown earlier this year.,Esposito, who currently serves as the co-head of the company's global markets division, will take over Lemkau's role from January.,(This story corrects paragraph 2 to say MSD Partners is the investment firm started by Michael Dell, not his family office)",Business News,2020-11-16,Goldman Sachs investment banking co-head Lemkau to retire: memo
"WASHINGTON (Reuters) - Irish airline Aer Lingus received tentative U.S. approval on Monday to join the Oneworld carrier alliance, the U.S. Transportation Department announced, a move that will give the joint venture control of more than half of the U.S.-Ireland flight market.,Airlines are expected to expand capacity on some existing routes while introducing service on several new routes, allowing more options for travel between the United States and Ireland as well as the rest of Europe, the department said.,The approval will integrate Aer Lingus into Oneworld's network planning, pricing and sales. Aer Lingus did not immediately comment.,Aer Lingus controls 44% of the U.S.-Ireland flight market, a figure that will rise to 60% for the alliance.,Despite the alliance's majority market share, the U.S. regulator noted steps that it said would support competition.,As a condition of approval, the department proposed Oneworld maintain commitments to release landing and takeoff gate slots at London airports to competitors. Those were imposed when the alliance was first approved in 2010.,The Transportation Department also argued that new aircraft models will allow airlines to fly transatlantic routes with fewer seats and lower costs.,The public can comment on the tentative decision for two weeks before it is finalized.",Business News,2020-11-16,U.S. tentatively approves adding Aer Lingus to Oneworld alliance group
"The deal is expected to close in the first half of 2021 and would includes YY mobile app, YY.com website and PC YY, among others, the company said.",Business News,2020-11-16,Baidu to buy JOYY's live-streaming business in China for $3.6 billion
"CHICAGO (Reuters) - Smithfield Foods, the world's biggest pork processor, and a subcontractor face fines of more than $100,000 from California's workplace safety regulator for failing to protect employees from COVID-19 and other violations during the pandemic.,The penalties increase pressure on Chinese-owned Smithfield over U.S. working conditions during the health crisis, after federal regulators hit the meatpacker and others with smaller fines.,California's regulator, known as Cal/OSHA, issued ""the largest citation at a meatpacking plant nationwide"" to Smithfield's Farmer John plant in Vernon, California, according to the United Food and Commercial Workers International Union, which represents meatpacking workers.,More than 315 workers out of 1,800 at the plant contracted COVID-19 since March, with at least three people hospitalized, the union said.,Smithfield and its subcontractor, CitiStaff Solutions, failed to ensure employees used masks and had physical barriers like plexiglass between them to keep them safe, according to Cal/OSHA.,The companies also failed to train employees on the risks of COVID-19, including how the virus spreads and how they could avoid infection, the regulator said.,The company said it provided masks, face shields and other personal protective equipment to workers during the time covered by the citations. The citations also cover a time when employers were told not to require masks, according to Smithfield.,CitiStaff declined to comment.,""They've never taken our health seriously,"" José Guzman, a Farmer John worker, said in a statement. ""We are disposable to them as long as their profits keep going up."",Smithfield in September became the first major meatpacker to be cited by the U.S. Occupational Safety and Health Administration (OSHA) for failing to protect employees from COVID-19, after an outbreak at a South Dakota pork plant.,OSHA fined the company $13,494, the maximum allowed by law. Smithfield is appealing.",Energy & Environment,2020-11-16,"Smithfield Foods, subcontractor fined $100,000 for COVID-19 violations in California"
"NEW YORK (Reuters) - As positive coronavirus vaccine news makes strategists more optimistic about the future for retailers, investors will look to earnings results and forecasts from these companies in the coming days for clues about consumer spending.,The U.S. retail sales report for October also is due on Tuesday.,Investors will be especially eager to hear guidance and commentary from retail executives on consumer spending.,""We've gotten used to now buying online increasingly and delivery has become smoother,"" said Quincy Krosby, chief market strategist at Prudential Financial in Newark, New Jersey. ""The question is, does it continue?"",Shares in a number of retailers rallied on Monday as a result of optimism that a COVID-19 vaccine will help the economic recovery in the months ahead.,Investors also are watching whether upcoming holiday sales data can support hopes for retailer shares despite a surge in COVID cases and increased restrictions across the United States and in Europe.,""As long as the jobs market holds up and we see (unemployment benefit claims) continuing to go down, that helps consumers' optimism,"" said Krosby.,Some retailers' shares remain down sharply this year so far, including Macy's, which is off more than 50% since Dec. 31 despite a 9% gain on Monday as the pandemic added to their recent struggles.,On the earnings front, there continues to be a big divide within the consumer discretionary sector.,But earnings for internet and direct marketing retail companies are show about a 43% rise in the quarter, while apparel retail earnings are forecast to fall 40.1%.",Retail,2020-11-16,Does vaccine promise put U.S. consumers in a shopping mood? Retailers may have clues
"""No one should think Southwest is gonna get 50 more airplanes than what they were planning on in terms of incrementing the fleet,"" Kelly said on an Air Transport World webinar. ""That'd be crazy. We're not thinking about that at all."",Low-cost carrier Southwest has parked between 150 and 200 jets as travel demand wanes in the pandemic, but as it plans its fleet make-up over the next decade or two, it wants to make a decision soon about refreshing its aging 737-700 jets with 143 seats.,The Boeing 737 MAX has suffered a setback following two fatal crashes that sparked a massive safety review and a global grounding of the models that were in service before the crashes. U.S. regulatory approval is expected this week for those jets to fly again after nearly two years.,""If we get what we need on the MAX, then it makes it more difficult for the A220, but I think Boeing and Airbus understand that's (737-700) a very important airplane for us,"" Kelly said.,While there is some flexibility on the timing of a decision, Kelly said the airline ""absolutely needs a solution for that the over the next several years and as far as I'm concerned the sooner we make up our minds on that the better.""",Aerospace and Defense,2020-11-16,Southwest CEO says airline is not looking to expand its fleet
"NEW YORK (Reuters) - The S&P 500 and Dow Jones industrial average notched record closing highs on Monday as news of another promising coronavirus vaccine fanned hopes of eradicating COVID-19, while spiking infections and new shutdowns threatened to hobble a recovery from the pandemic recession.,All three major U.S. stock indexes advanced and with its new closing record, the blue-chip Dow is the last of the three to reclaim levels reached in February, before lockdowns sent the markets into free-fall.,The Russell 2000 also hit an all-time closing high.,Value, cyclical and small cap shares outperformed the broader market.,Moderna Inc said its experimental COVID-19 vaccine was 94.5% effective in preventing infection based on interim late-state data. It was the second drugmaker in as my weeks, after Pfizer Inc, to announce promising trial data in the development of a vaccine to defeat the pandemic. Its shares gained 9.6% on the day.,Combined, pending further data and regulatory review, the United States could have as many as 60 million emergency doses available this year.,""More vaccine news is driving cyclicals, small caps and value, which would be primed if the economy reopens sooner than expected, returning us to some sense of normalcy,"" said Robert Pavlik, senior portfolio manager at Dakota Wealth in Fairfield, Connecticut.,Travel-related stocks, which have been clobbered by restrictions to contain the pandemic's spread, were in demand.,Shares of United Airlines Holdings Inc, American Airlines Group Inc, Carnival Corp and Norwegian Cruise Line Holdings Ltd jumped between 4.5% and 9.7%.,But COVID-19 continued its U.S. rampage, with cases surging past 11 million and record infections in 40 states, prompting states to tighten social distancing mandates.,""Wall Street is looking out six to 12 months down the road,"" Pavlik added. ""There is a question about ... what kind of damage will be inflicted on the economy between now and then."",The Dow Jones Industrial Average rose 470.63 points, or 1.6%, to 29,950.44; the S&P 500 gained 41.76 points, or 1.16%, at 3,626.91; and the Nasdaq Composite added 94.84 points, or 0.8%, at 11,924.13.,Of the 11 major sectors of the S&P 500, all but healthcare ended the session in the black, with energy stocks enjoying the largest percentage gain.,Earnings from high-profile retailers are expected this week, with Walmart Inc and Home Depot Inc expected to report on Tuesday and Lowe's Companies Inc and Target Corp on Wednesday.,This, together with the Commerce Department's October retail sales data, expected on Tuesday, should provide evidence of how consumers are weathering a languid economic recovery as stimulus runs dry.,Simon Property Group Inc jumped 5.7% after the biggest U.S. mall operator cut its purchase price for an 80% stake of rival Taubman Centers Inc, as the pandemic pressures the retailers.,Advancing issues outnumbered declining ones on the NYSE by a 4.66-to-1 ratio. On Nasdaq, a 2.55-to-1 ratio favored advancers.,The S&P 500 posted 40 new 52-week highs and no new lows. The Nasdaq Composite recorded 162 new highs and 15 new lows.,Volume on U.S. exchanges was 10.90 billion shares, compared with the 10.21 billion average for the full session over the last 20 trading days.",Business News,2020-11-17,"S&P 500, Dow close at all-time highs on reignited vaccine hopes"
"Under the arrangement, Universal could offer movies for sale via premium video-on-demand after they have played for at least three weekends in theaters, a statement from the companies said. That would shrink the exclusive window a movie plays in theaters from the roughly 74 days that was typical before the COVID-19 pandemic shut down cinemas.,Movies that open with more than $50 million at box offices would be exclusive to theaters for at least five weekends, or 31 days, before they could be offered on demand. That would likely include Universal's big franchises such as ""Fast & Furious"" and ""Jurassic World."",""That was a concept that was very important to us, the concept of having a dynamic window instead of a static, one-size-fits-all (approach),"" Cinemark Chief Executive Mark Zoradi said in an interview.,The company is in ""active discussions"" with other studios about similar terms, Zoradi added.,In a statement, Universal Filmed Entertainment Group Chairman Donna Langley said the studio was ""more committed than ever"" to the big screen. The deal with Cinemark will ""provide consumers with the optionality that they are looking for,"" she said.,Universal is one of the few major studios sending movies to theaters in the coming months as many movie houses remain closed due to the pandemic. The studio will debut animated film ""The Croods: A New Age"" on Nov. 25, Tom Hanks drama ""News of the World"" on Dec. 25 and three other movies before year's end.,Theaters had long resisted moves to shorten the window of time they can show a movie exclusively, and threatened to refuse to show films if they were released too quickly on-demand. That changed in July, when AMC reached the deal with Universal to allow premium video-on-demand after three weekends. AMC will receive an undisclosed portion of the on-demand sales.,It is unclear if Cinemark, the third-largest theater operator in the United States, also will earn a percentage of Universal's on-demand revenue. Financial terms of their arrangement were not disclosed.",Media and Telecoms,2020-11-17,"Universal, Cinemark agree on earlier home release for movies"
"VANCOUVER (Reuters) - A key witness involved in the arrest of Huawei Chief Financial Officer Meng Wanzhou two years ago has decided not to testify in the Canadian court as part of Meng's ongoing witness cross-examination, the court heard on Monday.,Meng arrived back in the British Columbia Supreme Court on Monday as her U.S. extradition hearing resumed. Her lawyers are fighting to establish that Meng's rights were violated during the events leading up to her arrest.,Her lawyers called the refusal of a senior Canadian police officer to testify in court ""concerning."",Meng has said she is innocent and is fighting the extradition from under house arrest in Vancouver, where she owns a home in one of Canada's most expensive neighborhoods.,On Monday defense lawyer Richard Peck told the court one of the key witnesses, Staff Sergeant Ben Chang with the Royal Canadian Mounted Police (RCMP), would not be testifying after seeking counsel from a lawyer.,According to court documents, Chang, who is now retired, allegedly sent details of Meng's electronic devices to the FBI. Chang denied the allegation in an affidavit submitted to courts.,Peck told the court Chang's refusal to testify is ""a matter that will be of some concern,"" adding that ""there may be any number of consequences from his refusal to testify."",Monday kicks off 10 days of testimony that are a continuation of hearings that were set to wrap up in early November but ran overtime, necessitating more hearings to be scheduled.,Lawyers for both Meng and the Canadian government will spend the week cross-examining Canadian law enforcement officers and border officials who were involved in the initial investigation and arrest of Meng.,Meng's lawyers are fighting to get her extradition dismissed on the basis of alleged abuses of process, arguing they constitute violations of her civil rights laid out in Canada's Charter of Rights and Freedoms.,In the first week of hearings, prosecutors for the Canadian government tried to prove that Meng's arrest was by the book and any lapses in due process should not impact the validity of her extradition.,The defence has argued CBSA officers should have delayed their examination of Meng and turned her over immediately to the RCMP, and that doing otherwise violated her rights.,On Monday, prosecutor Diba Majzub asked CBSA officer Sanjit Dhillon, who was involved with examining Meng, whether it was common for border officers to delay customs examination on non-Canadians.,""I've never seen a case where the examination was delayed in any way,"" Dhillon said.,The extradition hearings are scheduled to wrap up in April 2021, though the potential for appeals mean the case could drag on for years.,Earlier on Monday, Huawei said in a statement the hearings had revealed ""important information"" about Meng's arrest, adding the company ""continues to have great confidence in both Meng's innocence and the integrity of the Canadian judicial system."",Diplomatic relations between Ottawa and Beijing became rocky following Meng's arrest. Soon after her detention, China arrested Canadian citizens Michael Spavor and Michael Kovrig on espionage charges.",Technology News,2020-11-17,Key witness in Huawei CFO's arrest declines to testify in Canada court
"""Qantas nearly changed its business model or approach every decade to survive the crises that they were facing at the time,"" Chief Executive Alan Joyce said at an event at Sydney Airport. ""And that entrepreneurial spirit is there."",Qantas' centenary included a 100-minute low-level flyover of Sydney's famous harbour at sunset on Monday evening for 100 employees as well as frequent flyers.,It has since announced cuts to nearly 30% of its workforce and grounded the bulk of its fleet. It doesn't expect a return to most international travel until the second half of 2021 as Australia's borders remain largely closed.,""It's been a really sad and emotional year I think for all of us,"" said Margie Milton, who has been a Qantas flight attendant for more than 30 years, before joining the birthday flight.,The domestic market outlook is brighter as state borders begin to reopen, with the airline expecting to return to as much as 50% of normal capacity by Christmas.,Joyce said he was also optimistic the airline's plans for non-stop Sydney-London flights would be back on the table as its financial position improved.,""We think the business case for that is going to be even better in a post-COVID world,"" he said.,The airline has one of the world's best safety records, highlighted in the 1988 film Rain Man, where an autistic character played by Dustin Hoffman says ""Qantas never crashed"".,That is not entirely accurate given some accidents in its earlier years, but the Australian airline has not had a fatal crash since 1951, before it began flying jets.",Aerospace and Defense,2020-11-17,"Australia's Qantas celebrates subdued 100th birthday, looks to post-COVID future"
"The New York-based hedge fund liquidated its investment when it sold 5 million shares during the quarter that ended Sept. 30. It had first bought into the stock during the third quarter 2019, according to another filing.,Investment companies are required to say what U.S. stocks they own at the end of each quarter. While these filings are made with a delay, they often shed light on investment trends that are closely watched by other investors.,Elliott, which invests $41 billion and is known as one of the world's busiest corporate activists, originally criticized AT&T for operational missteps and its takeover strategy as well as its choice of leaders. But by the time company veteran John Stankey succeeded AT&T's long-time CEO, Randall Stephenson, as its chief in July, Elliott had come around to the choice.,Elliott won the eBay seat in March 2019.,Starboard Value, another influential activist investor, which also reached a settlement with eBay in early 2019 and was able to fill one seat on eBay's board, sold off the rest of its stake during the third quarter, a filing shows.,The hedge fund sold 2,090,000 eBay shares after having already sold three quarters of its stake during the second quarter, filings showed.",Media and Telecoms,2020-11-17,Elliott exits AT&T after waging a fight in 2019; Starboard exits eBay
